(La/Yb)N,(La/Nd)N,(Gd/Yb)N,Eu/Eu*,YbN,REE+Y,LREE,Sr/Y,Mn,Sr,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,花岗岩类型
0.301547885,0.137983986,2.967888056,0.048105133,3873.521654,14787.68399,7304.645069,0.054014288,9.466841866,4.716166153,7.633289923,5.612066159,6.870530172,4.876605235,8.274714645,7.54753585,3.503752848,7.756765333,4.283564437,7.423743396,4.253271516,6.19041449,3.195859488,6.480218716,2.861427982,S型
0.247708759,0.101342878,3.482099362,0.021360862,9056.865465,38043.13784,18048.21754,0.036939858,5.805836487,5.285446514,8.582527761,6.264750033,7.699384577,5.765137945,9.236026558,8.410005049,3.62727432,8.765909106,5.237279458,8.430455812,5.343134462,7.259169159,4.15817249,7.32957772,3.71361078,S型
0.438248952,0.165823447,3.023462693,0.081099727,2543.215073,10693.6732,5701.132791,0.107098813,9.090995942,5.018317355,7.250937834,5.56518944,6.705264503,4.669133327,8.044051911,7.16867634,3.636090143,7.354582463,3.826386911,6.981111756,3.867877271,5.830546409,2.78694505,6.059483692,2.468349874,S型
0.768464193,0.137808409,5.340582054,0.063455289,2263.447622,16472.06437,10337.51477,0.140982563,6.609525542,5.315651761,7.273387917,6.010256367,7.255122332,5.256995258,8.674178112,7.742510118,3.909001338,7.806974437,4.094572723,7.155888488,4.009176592,5.902732569,2.782691497,5.942943782,2.316359438,S型
10.93660878,0.51026962,4.971691591,0.069981857,1107.488346,24997.69882,22406.21097,0.36155304,7.371923958,5.395019282,6.410982903,7.950938996,8.69516916,6.246926472,9.305785864,7.48475943,3.548589069,7.020605486,2.994852777,6.073943335,3.026064869,5.084979831,1.951805276,5.228149335,1.772791196,A型
4.151622561,0.474802362,3.927206778,0.067784873,3358.474944,34092.38549,27282.42211,0.038630031,6.873166782,4.134161516,7.386503922,8.091714751,8.787169939,6.488608571,9.518602235,7.944075378,4.127552379,7.894166059,4.014879329,7.117005575,4.122635448,6.188156978,3.001268721,6.33754162,2.977078515,A型
3.794793913,0.508013419,2.732600788,0.068311672,4392.228719,37618.39651,30846.2709,0.057454533,7.018466961,4.595987529,7.45136599,8.270195414,8.968158936,6.678826689,9.629473672,7.890965553,4.065301552,7.799841248,3.942396052,7.02764678,4.090996625,6.23192293,3.183839374,6.605891414,3.289223077,A型
3.012462561,0.490503819,1.939329731,0.100151933,5784.448456,41924.43277,34698.40803,0.032877578,7.661510431,4.198554593,7.612136054,8.314659417,9.210100034,6.791172292,9.709012474,7.927862158,4.443837248,7.732266074,3.882972632,7.031556089,4.118246267,6.346124556,3.37449747,6.881227651,3.430634731,A型
6.197585651,0.347003729,6.682665334,0.128152387,555.0914823,10418.61325,8785.66695,0.679233758,5.836953902,5.488943597,5.874350633,6.692265989,7.675422314,5.290206939,8.432716585,6.795681054,3.567971409,6.625645208,2.623041174,5.649544389,2.55220767,4.550972427,1.313748062,4.537432289,1.065706508,A型
5.303563831,0.32265696,6.551586281,0.103017051,1530.880332,25899.9392,21530.37413,0.56382464,6.729161152,6.278402302,6.850031394,7.550950496,8.449505076,6.219877454,9.3641469,7.808824452,4.35569733,7.620300795,3.617158546,6.609283036,3.55002501,5.526148092,2.262828617,5.551897585,2.007972726,A型
