(La/Yb)N,(La/Nd)N,(Gd/Yb)N,Eu/Eu*,YbN,REE+Y,LREE,Sr/Y,Mn,Sr,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,花岗岩类型
0.574234145,0.146884083,3.662864741,0.006401681,6494.031418,34429.2352,20380.82066,0.011177972,1136,43.59409058,3900,883.7954159,2946.297343,378,11906.97674,4256.170781,9.580379383,4888.178914,122,2863.453815,135,963.9988099,41,1103.985341,30.79765938,I型
0.269249898,0.06097619,6.795319002,0.114296294,3152.70405,21176.39672,11438.74849,0.059839568,1575,112.6180673,1882,201.181063,1032.221594,177,6529.069767,3355.57038,143.7056907,4402.555911,104,2172.690763,91,508.7771497,15,535.9596885,25.66471615,I型
3.874822456,0.255910418,5.920852689,0.056407726,555.0914823,8074.471712,6606.767155,0.958390627,901,315.6938726,329.4,509.7587829,1140.75749,129.8,3941.860465,869.9132755,14.67714121,675.399361,11.8,256.626506,194.3,93.72210652,3.3,94.36555199,3.090031824,I型
5.189625901,0.455463451,2.696957453,0.121606576,1390.423325,17090.69824,15025.60433,0.521287784,2121.702767,304.4320659,584,1710.139125,4352.063313,372,7430.232558,1122.081388,39.08794788,770.6070288,14.4,295.5823293,15.4,132.6986016,7,236.3719652,9.033980084,I型
6.092783612,0.410662142,3.786306873,0.160948686,646.7085229,10082.16023,8896.818902,1.711321319,1629.467725,505.2676193,295.25,933.8404564,2505.370266,215.75,4500,708.8058706,33.05230887,503.1948882,9,177.7108434,9.25,73.63879798,3.25,109.9404489,4.106354584,I型
5.278030817,0.339344251,4.700535591,0.143388664,916.1704076,14597.93885,12574.76442,1.697331454,1493.678748,819.8110923,483,1146.031428,3222.159412,299.5,6683.139535,1174.116077,49.81797279,884.9840256,16.5,333.3333333,15.5,123.4751562,5.5,155.7489693,5.13294323,I型
6.380328113,0.400436696,4.243455444,0.152428284,626.4988818,10353.14513,9112.054555,1.425354028,1334.1267,428.675224,300.75,947.3526174,2473.148672,222.5,4681.686047,753.8358906,33.53132784,546.3258786,9.5,189.7590361,9,72.15114549,3.25,106.5048099,3.849707422,I型
5.133694075,0.412507021,5.083066436,0.050840876,1413.058123,19145.14077,15674.3846,0.184783272,2230.333948,152.7972875,826.9,1719.247323,3590.050876,340.8,8247.674419,1749.166111,27.44587086,1476.038339,29.57,631.5261044,30.09,219.6667658,8.904,240.2198809,7.841084078,I型
0.955352556,0.335214809,1.193342817,0.052117777,8196.327588,29758.71092,20913.47741,0.029066012,18792.01365,96.90734676,3334.043478,1855.800655,5165.826923,514.3913043,10955.51062,2383.618064,38.3298483,2010.001389,51.27391304,1289.505849,67.14782609,615.7587674,37.43913043,1393.37569,46.68746625,I型
3.045175675,0.623082754,2.110780263,0.16683813,1273.712049,7906.283716,6170.504108,0.667232541,2458.91206,331.4757515,496.7919446,919.2464366,1531.019905,130.5561662,2919.515065,637.0143723,33.15216251,552.492145,12.60838171,301.9498135,15.16367068,126.2282674,6.472921732,216.5310483,7.541415534,I型
9.088223883,0.578411158,3.582568766,0.137250663,641.7683882,11034.7609,9910.907568,1.339459156,965.6142857,374.2448881,279.4,1382.310746,2847.748257,240.3766667,4729.263566,684.2561708,26.95216197,472.4813632,8.254666667,168.9156627,8.539333333,69.30477041,3.317333333,109.100626,4.539574992,I型
